,,,,,,
DISTRITOS - CONCELHOS - FREGUESIAS - LUGARES - ORAGOS ,,,,,,
Produzido por Genealogiafb.blogspot.pt,,,,,,
,,,,,,
Distrito,Concelho,Freguesia,Lugares (Census 2011),Orago da Freguesia,Notas sobre a Freguesia,
Aveiro,Águeda,Valongo do Vouga,Lanheses,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Mourisca,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Moutedo,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Outeiro,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Redonda,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Sabugal,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Salgueiro,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Sobreiro,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Stª Rita,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Toural,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Valongo,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Veiga,São Pedro,,
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Albergaria-a-Velha,Santa Cruz,,
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Assilho,Santa Cruz,,
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Canfinho,Santa Cruz,,
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Frias,Santa Cruz,,
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,São Marcos,Santa Cruz,,
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Sobreiro,Santa Cruz,,
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Taco,Santa Cruz,,
Aveiro,Albergaria-a-Velha,Alquerubim,Ameal,Santa Marinha,,
Aveiro,Albergaria-a-Velha,Alquerubim,Beduido,Santa Marinha,,
Aveiro,Albergaria-a-Velha,Alquerubim,Calvães,Santa Marinha,,
Aveiro,Albergaria-a-Velha,Alquerubim,Fial,Santa Marinha,,
Aveiro,Albergaria-a-Velha,Alquerubim,Fontes,Santa Marinha,,
Aveiro,Albergaria-a-Velha,Alquerubim,Paus,Santa Marinha,,
Aveiro,Albergaria-a-Velha,Angeja,Angeja,Nossa Senhora das Neves,,
Aveiro,Albergaria-a-Velha,Angeja,Fontão,Nossa Senhora das Neves,,
Aveiro,Albergaria-a-Velha,Branca,Albergaria-a-Nova,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Barroca,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Cardeal,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Casaldima,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Chaque,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Coche,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Cristelo,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Eiras,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Escusa,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Espinheira,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Estrada,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Fradelos,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Fundo de Vila,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Laginhas,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Mundo Novo,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Nobrijo,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Outeirinho,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Palhal,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Relvas,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Samuel,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Soutelo,São Vicente,,
Aveiro,Albergaria-a-Velha,Branca,Souto,São Vicente,,
Aveiro,Albergaria-a-Velha,Frossos,Cubo,São Paio,,
Aveiro,Albergaria-a-Velha,Frossos,Frossos,São Paio,,
Aveiro,Albergaria-a-Velha,Frossos,Vale de Mouros,São Paio,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Alto dos Barreiros,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Bosturenga,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Campo,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Carvalhal,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Casaldelo,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Escalvado,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Fráguas,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Gavião,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Igreja,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Palhal,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Ribeiro,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Telhadela,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Vale,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Vilarinho de São Roque,São Tiago Maior,,
Aveiro,Albergaria-a-Velha,São João de Loure,Azenhas,São João Baptista,,
Aveiro,Albergaria-a-Velha,São João de Loure,Casais,São João Baptista,,
Aveiro,Albergaria-a-Velha,São João de Loure,Castelo,São João Baptista,,
Aveiro,Albergaria-a-Velha,São João de Loure,Loure,São João Baptista,,
Aveiro,Albergaria-a-Velha,São João de Loure,Pinheiro,São João Baptista,,
Aveiro,Albergaria-a-Velha,São João de Loure,Salgueiral,São João Baptista,,
Aveiro,Albergaria-a-Velha,São João de Loure,São João de Loure,São João Baptista,,
Aveiro,Albergaria-a-Velha,São João de Loure,Vale da Silva,São João Baptista,,
Aveiro,Albergaria-a-Velha,Valmaior,Açores,Santa Eulália,,
Aveiro,Albergaria-a-Velha,Valmaior,Cavada Nova,Santa Eulália,,
Aveiro,Albergaria-a-Velha,Valmaior,Mouquim,Santa Eulália,,
Aveiro,Albergaria-a-Velha,Valmaior,Póvoa,Santa Eulália,,
Aveiro,Albergaria-a-Velha,Valmaior,Rendo,Santa Eulália,,
Aveiro,Albergaria-a-Velha,Valmaior,Santo António,Santa Eulália,,
Aveiro,Albergaria-a-Velha,Valmaior,Valmaior,Santa Eulália,,
Aveiro,Albergaria-a-Velha,Valmaior,Vila Nova de Fusos,Santa Eulália,,
Aveiro,Anadia,Aguim,Aguim,Nossa Senhora do Ó,,
Aveiro,Anadia,Aguim,Alpalhão,Nossa Senhora do Ó,,
Aveiro,Anadia,Aguim,Penereira,Nossa Senhora do Ó,,
Aveiro,Anadia,Aguim,Vila Franca,Nossa Senhora do Ó,,
Aveiro,Anadia,Amoreira da Gândara,Amoreira da Gandara,São Martinho de Tours,,
Aveiro,Anadia,Amoreira da Gândara,Cabeço,São Martinho de Tours,,
Aveiro,Anadia,Amoreira da Gândara,Madureira,São Martinho de Tours,,
Aveiro,Anadia,Amoreira da Gândara,Madureirinha,São Martinho de Tours,,
Aveiro,Anadia,Amoreira da Gândara,Portouro,São Martinho de Tours,,
Aveiro,Anadia,Amoreira da Gândara,Relvada,São Martinho de Tours,,
Aveiro,Anadia,Ancas,Ancas,Nossa Senhora da Assunção,,
Aveiro,Anadia,Arcos (Anadia),Alfeloas,São Paio,,
Aveiro,Anadia,Arcos (Anadia),Anadia,São Paio,,
Aveiro,Anadia,Arcos (Anadia),Arcos,São Paio,,
Aveiro,Anadia,Arcos (Anadia),Canha,São Paio,,
Aveiro,Anadia,Arcos (Anadia),Famalicão,São Paio,,
Aveiro,Anadia,Arcos (Anadia),Malaposta,São Paio,,
Aveiro,Anadia,Arcos (Anadia),Vendas da Pedreira,São Paio,,
Aveiro,Anadia,Avelãs de Caminho,Avelãs de Caminho,Santo António,,
Aveiro,Anadia,Avelãs de Cima,Avelãs de Cima,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Boialvo,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Candieira,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Canelas,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Cerca,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Corgo de Baixo,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Corgo de Cima,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Ferreirinho,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Figueira,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Mata de Baixo,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Mata de Cima,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Pardieiro,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Pereiro,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,Póvoa do Gago,São Pedro,,
Aveiro,Anadia,Avelãs de Cima,São Pedro,São Pedro,,
Aveiro,Anadia,Mogofores,Mogofores,Nossa Senhora da Conceição,,
